Address,Time,Count
"478 Vandervoort Avenue, New York, New York, 11222, United States of America",21,3
" West 17th Street, New York, New York, 10011, United States of America",22,3
"272 Meserole Street, New York, New York, 11206, United States of America",20,2
"7 Wythe Avenue, New York, New York, 11222, United States of America",20,2
"572 Cypress Avenue, New York, New York, 11237, United States of America",20,2
"3 Crosby Street, New York, New York, 10013, United States of America",20,2
" Allen Street, New York, New York, 10002, United States of America",20,2
"79 Avenue D, New York, New York, 10009, United States of America",20,2
"507 East 5th Street, New York, New York, 10009, United States of America",20,2
" Avenue C, New York, New York, 10009, United States of America",20,2
"160 Willoughby Avenue, New York, New York, 11205, United States of America",20,2
"1292 Halsey Street, New York, New York, 11237, United States of America",20,2
"744 Myrtle Avenue, New York, New York, 11237, United States of America",20,2
