Address,Count
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",87
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",83
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",72
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",71
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",65
" Terminal 5 Arrivals, New York, New York, 11422:11434, United States of America",51
" Terminal C Post-Security, New York, New York, 11369, United States of America",50
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",43
" 9th Avenue, New York, New York, 10014, United States of America",39
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",36
"351 West 16th Street, New York, New York, 10011, United States of America",36
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",34
" Terminal C Post-Security, New York, New York, 11369, United States of America",34
" Terminal 5 Arrivals, New York, New York, 11422:11434, United States of America",34
